id: 868eefb4-5522-49fb-ac78-91a732a7d9fe, total_duration_in_sec: 3920.926, numFiles_prod_in_sec: 3855, numFiles_temp_in_sec: 2085
id: 86f61689-d96e-4405-99b1-ecfd232d93c8, total_duration_in_sec: 3070.812, numFiles_prod_in_sec: 3045, numFiles_temp_in_sec: 1350
id: 8745a682-f566-4125-b3b4-5d486187d522, total_duration_in_sec: 2907.672, numFiles_prod_in_sec: 2895, numFiles_temp_in_sec: 570
id: 8774dfc4-d585-4422-b471-3ce612c0dee2, total_duration_in_sec: 4343.305, numFiles_prod_in_sec: 4320, numFiles_temp_in_sec: 1785
id: 8846fa34-3b42-4fd4-b4d9-26592007298e, total_duration_in_sec: 2776.718, numFiles_prod_in_sec: 2760, numFiles_temp_in_sec: 150
id: 889966ea-8860-441c-96c5-ddf35484c502, total_duration_in_sec: 5464.898, numFiles_prod_in_sec: 5430, numFiles_temp_in_sec: 3600
id: 8ad4ff61-bb58-4a65-aac5-c87fb3548bf9, total_duration_in_sec: 1798.845, numFiles_prod_in_sec: 1725, numFiles_temp_in_sec: 795
id: 8c4e0e46-14be-40cf-8e21-ac13c6441df9, total_duration_in_sec: 1546.569, numFiles_prod_in_sec: 1530, numFiles_temp_in_sec: 510
id: 8ca6f5f5-a28e-4f28-bcff-89b594b7e1a5, total_duration_in_sec: 16254.646, numFiles_prod_in_sec: 16185, numFiles_temp_in_sec: 13830
id: 8e7597ac-2170-45cb-b56a-89f2afced70a, total_duration_in_sec: 2991.176, numFiles_prod_in_sec: 2970, numFiles_temp_in_sec: 900
id: 8f3aa603-92c1-4b15-b34f-c5460e1f5147, total_duration_in_sec: 1833.68, numFiles_prod_in_sec: 1815, numFiles_temp_in_sec: 510
id: 9086cbf7-7625-41f5-b4c1-c1b595ae3a5e, total_duration_in_sec: 3712.506, numFiles_prod_in_sec: 3705, numFiles_temp_in_sec: 1920
id: 916c9981-7b4b-42dd-bdbc-0ffa6d1b10b6, total_duration_in_sec: 2609.71, numFiles_prod_in_sec: 2520, numFiles_temp_in_sec: 480
id: 91e0e70f-8a2c-4b4c-8f44-36148d7e20e2, total_duration_in_sec: 1959.781, numFiles_prod_in_sec: 1950, numFiles_temp_in_sec: 240
id: 926ad12d-e488-4a94-a562-df35f7638054, total_duration_in_sec: 9324.072, numFiles_prod_in_sec: 9165, numFiles_temp_in_sec: 7155
id: 93f4f8b4-c993-431e-bc01-be4065748b9f, total_duration_in_sec: 4172.623, numFiles_prod_in_sec: 4110, numFiles_temp_in_sec: 2595
id: 94b42d12-e219-4f6b-8751-808a50f0fcd1, total_duration_in_sec: 12361.876, numFiles_prod_in_sec: 12330, numFiles_temp_in_sec: 9810
id: 94dec47c-6651-4b00-8c88-ec51cebbbed0, total_duration_in_sec: 2753.228, numFiles_prod_in_sec: 2700, numFiles_temp_in_sec: 1095
id: 9698806a-1238-4257-b4fc-cadeed1e2975, total_duration_in_sec: 1483.865, numFiles_prod_in_sec: 1470, numFiles_temp_in_sec: 360
id: 96df0f8d-0095-47be-8cdf-085784a86826, total_duration_in_sec: 5163.205, numFiles_prod_in_sec: 5130, numFiles_temp_in_sec: 3555
id: 9758036a-bade-4e2c-9018-3bd69dac7cf0, total_duration_in_sec: 3215.373, numFiles_prod_in_sec: 3180, numFiles_temp_in_sec: 1605
id: 9773b52c-4f5e-43ec-a7ed-7a09acdf8a24, total_duration_in_sec: 2754.347, numFiles_prod_in_sec: 2715, numFiles_temp_in_sec: 1335
id: 98a9b277-b535-45c4-b858-f1ad09080d91, total_duration_in_sec: 4236.381, numFiles_prod_in_sec: 4230, numFiles_temp_in_sec: 1830
id: 98ac418b-c75b-4510-995d-194c827fa1cd, total_duration_in_sec: 1906.044, numFiles_prod_in_sec: 1890, numFiles_temp_in_sec: 660
id: 98d60d2b-470d-455d-8d8f-109baff03a02, total_duration_in_sec: 2570.397, numFiles_prod_in_sec: 2535, numFiles_temp_in_sec: 75
id: 98dd36fb-a881-4cdc-8ed4-15cf8d81f350, total_duration_in_sec: 4984.115, numFiles_prod_in_sec: 4815, numFiles_temp_in_sec: 3630
id: 991a21ed-5cb7-4bef-9fc8-339bdb1dd51c, total_duration_in_sec: 2214.392, numFiles_prod_in_sec: 2160, numFiles_temp_in_sec: 30
id: 99a0e1b8-c0fa-4b15-a0d1-2ee70d0245a2, total_duration_in_sec: 5911.902, numFiles_prod_in_sec: 5895, numFiles_temp_in_sec: 4785
id: 9b78e46b-d886-4bba-876a-8e517795e00e, total_duration_in_sec: 1862.052, numFiles_prod_in_sec: 1815, numFiles_temp_in_sec: 405
id: 9b9143e8-9395-4291-a260-2d95400bc36b, total_duration_in_sec: 2083.32, numFiles_prod_in_sec: 2070, numFiles_temp_in_sec: 570
id: 9b982ab0-2211-4228-b16a-01c22f9c5042, total_duration_in_sec: 4778.719, numFiles_prod_in_sec: 4755, numFiles_temp_in_sec: 3540
id: 9c3a38a9-3b99-4055-b295-8485ee318e70, total_duration_in_sec: 5451.937, numFiles_prod_in_sec: 5415, numFiles_temp_in_sec: 2700
id: 9d891c5a-b3cd-4fff-88d2-c0442719ca10, total_duration_in_sec: 2041.421, numFiles_prod_in_sec: 4050, numFiles_temp_in_sec: 2025
id: 9d90f358-34fc-4ec2-8ef5-d17128fa989c, total_duration_in_sec: 7696.076, numFiles_prod_in_sec: 7605, numFiles_temp_in_sec: 6105
id: 9d96442e-a041-4284-b4d4-f7a1246df55f, total_duration_in_sec: 4021.64, numFiles_prod_in_sec: 3990, numFiles_temp_in_sec: 2490
id: 9dc6972c-7941-497a-97dc-5a036bdf8fd9, total_duration_in_sec: 5532.313, numFiles_prod_in_sec: 5505, numFiles_temp_in_sec: 2550
id: 9e496e31-e23c-480d-a702-05b9df59da75, total_duration_in_sec: 3522.436, numFiles_prod_in_sec: 3465, numFiles_temp_in_sec: 2160
id: 9f397723-2756-43c0-a2ab-d38808594552, total_duration_in_sec: 3255.535, numFiles_prod_in_sec: 3240, numFiles_temp_in_sec: 2205
id: 9f9ee50d-7332-4335-a683-7c66e2dda2ae, total_duration_in_sec: 1756.685, numFiles_prod_in_sec: 1695, numFiles_temp_in_sec: 330
id: a02699d4-2459-462d-bb32-c2a462fed1f8, total_duration_in_sec: 1010.449, numFiles_prod_in_sec: 990, numFiles_temp_in_sec: 90
id: a05840d3-eda8-406a-b85b-b0a0578d2285, total_duration_in_sec: 3822.82, numFiles_prod_in_sec: 3810, numFiles_temp_in_sec: 1935
id: a064ef05-1ecc-4fd8-af3a-c0a0de3cb2d2, total_duration_in_sec: 1773.103, numFiles_prod_in_sec: 1755, numFiles_temp_in_sec: 1005
id: a1bbe0c9-7e26-4b32-a0f7-79dd2a6363f5, total_duration_in_sec: 1215.332, numFiles_prod_in_sec: 1200, numFiles_temp_in_sec: 285
id: a231cb99-d98c-4fb0-bd47-fe48166d2b19, total_duration_in_sec: 3733.035, numFiles_prod_in_sec: 3705, numFiles_temp_in_sec: 495
